episode_id,likes_count,name
869318,2283,الوحدة
185573766,1623,277: كيف تصلح علاقاتك مع الناس مع ياسر الحزيمي
36370155,1342,تجَاوز الصِعاب
35303775,1329,مُعضِلة
855024,1326,نفسك اولاً
855021,1264,خُذ نَفَسْ
33340621,1196,قوقعة
855022,1185,ابداها صح
879238,1100,أبحث عن نفسي
179558599,1051,تخطيت؟..
36322307,1013,شَغَفْ
855023,975,لا تحاول
87328231,892,الوسواس القهري
35132299,888,خُذ نَفَسْ
38076994,881,مُتوقِع
73147134,821,مستعد لرحلتنا سوا ؟
22680864,804,أول المخلوقات في العالم: قصة مؤثرة!
855025,802,ذاك الصديق
69505622,724,نفق الرضا
85473569,701,أسطورة حسناء المقبرة (ما وراء الطبيعة)
932883,682,حلم..
34691527,674,"داروا أمُوركم بالكتمَان"""
1002277,669,أنا فقط
38415179,658,إحساس الذنب
34771876,639,قَلِق
40166277,605,مولد الإمام علي عليه السلام
156860174,600,قلق مفرط
79741818,583,مستعد تعيد برمجة عقلك؟
35311738,583,أنا هُنا..
106484319,567,خيرة خيرة.. 
35132297,560,نفسك اولاً
69588135,558,نفق الرضا
855735,538,البدايات الجديدة
53847458,528,أحمد صبري: ميكس دراسة الطب والتيك توك والسفر وتعليم اللغات
35132292,521,قوقعة
855026,516,يمكن خيره
925151,505,أنت المَقصود
62621553,502,خُذ نَفَسْ
37335209,499,ممدوح نصرالله: تجربة ملهمة من الفشل والصيدلة لليوتيوب والكورة.
62621551,474,نفسك اولاً
38480112,474,الغزو الأمريكي للعراق 2003
35329901,456,جحا وقسمة العدل
106484322,450,ثمرة
32534636,448,وهي رَميم
35132296,448,يمكن خيره
889244,448,53- مهارة التركيز
37339151,447,تَكَيّف
884695,439,أنا أشعر
32367072,428,وعي | بودكاست جديد مع أحمد عامر وحازم الصديق
83926202,425,معطاء
